f0_max,k_sigmoid,gamma,gain_honnete,gain_mediocre,gain_cherry_picker,gain_sybil,gain_random_biased,ratio_h_m,ratio_h_c,ratio_m_c,ratio_h_s,passes_h_m,passes_h_c,passes_m_c,passes_h_s,n_passed,results_dir
0.85,25.0,1.0,696808.2640607852,269568.0107370153,456650.1197403849,2293.334655839353,3261.14156284475,2.5849070969350896,1.5259128026878328,0.5903163036292869,303.8406376001655,False,False,False,True,1,simulateur/results/grid_A_f0.85_k25_g1.0/20260510_141442
0.85,25.0,2.0,846928.4227617308,331499.1267124844,519401.13034615235,2859.7857010448924,4048.941872537398,2.5548436014321334,1.6305864066897573,0.6382333563493757,296.1510096551238,False,False,False,True,1,simulateur/results/grid_A_f0.85_k25_g2.0/20260510_141456
0.85,25.0,3.0,994352.5120169019,392318.95051727764,580997.9632442965,3417.656923839271,4826.549414473513,2.534551315213897,1.7114561064283786,0.6752501305281107,290.94567833329586,False,False,False,True,1,simulateur/results/grid_A_f0.85_k25_g3.0/20260510_141510
0.85,40.0,1.0,761595.7968237478,226363.9412633859,490961.3486719675,413.2763047906901,1124.6227627401374,3.3644748919510663,1.5512337150039135,0.46106265162357907,1842.824734917888,True,False,False,True,2,simulateur/results/grid_A_f0.85_k40_g1.0/20260510_141524
0.85,40.0,2.0,924814.0980850176,280651.79306886013,557838.3029739354,518.3828548160946,1388.4177672464054,3.295236734361812,1.6578533477437258,0.5031059924939816,1784.0368165978632,True,False,False,True,2,simulateur/results/grid_A_f0.85_k40_g2.0/20260510_141538
0.85,40.0,3.0,1084873.9225959198,333892.6302338603,623391.3996405053,622.93652028831,1651.42341836661,3.2491700156306775,1.7402773333439316,0.5356067318644564,1741.5481148766396,True,False,False,True,2,simulateur/results/grid_A_f0.85_k40_g3.0/20260510_141552
0.85,60.0,1.0,803244.1775371522,196676.0279823869,505339.4435604131,283.6838568309989,979.0812202508332,4.084098025454764,1.58951411328161,0.3891958771250643,2831.476512305298,True,False,False,True,2,simulateur/results/grid_A_f0.85_k60_g1.0/20260510_141606
0.85,60.0,2.0,974291.2683654736,245688.9234777785,573769.1677388165,354.6846971378023,1202.9895885928963,3.9655482004405216,1.6980544148182208,0.42820168334597186,2746.922199428698,True,False,False,True,2,simulateur/results/grid_A_f0.85_k60_g2.0/20260510_141620
0.85,60.0,3.0,1141886.6481968984,293718.0267058605,640787.6131255998,425.66056678786674,1426.8432339914066,3.8876968533512026,1.7820048715159527,0.45837032534567623,2682.6225807427727,True,False,False,True,2,simulateur/results/grid_A_f0.85_k60_g3.0/20260510_141634
0.88,25.0,1.0,573747.0782060042,168988.3933686547,411071.4782252944,1200.294428007017,1895.0967338214625,3.39518630107544,1.395735555974411,0.41109247982424574,478.0052833858945,True,False,False,True,2,simulateur/results/grid_A_f0.88_k25_g1.0/20260510_141649
0.88,25.0,2.0,701085.4823203954,209045.8672503681,468678.613778482,1498.4627036964039,2354.9092499921703,3.353739978416918,1.4958768369400337,0.4460324433518366,467.86982458152585,True,False,False,True,2,simulateur/results/grid_A_f0.88_k25_g2.0/20260510_141703
0.88,25.0,3.0,826545.2155714454,248514.86513224686,525415.5433097023,1793.2286289899832,2810.6673702588473,3.325938732604991,1.573126691998612,0.47298727321007633,460.92573038887303,True,False,False,True,2,simulateur/results/grid_A_f0.88_k25_g3.0/20260510_141717
0.88,40.0,1.0,613353.6929591646,111105.15920966011,453911.98280414596,264.83837822022764,820.9669662280652,5.520478952752684,1.3512612933680022,0.2447724744415919,2315.954723333668,True,False,False,True,2,simulateur/results/grid_A_f0.88_k40_g1.0/20260510_141731
0.88,40.0,2.0,750723.963497602,139209.6991102053,517214.69339791685,330.2273851786701,1016.3721028913711,5.392756167824856,1.4514745483458953,0.26915263794160027,2273.3546555850344,True,False,False,True,2,simulateur/results/grid_A_f0.88_k40_g2.0/20260510_141745
0.88,40.0,3.0,885944.6730426035,166879.2890280853,579504.5902155804,395.4784925360751,1211.576352087422,5.308895299125475,1.528796644583997,0.28796888212051064,2240.184206633661,True,False,False,True,2,simulateur/results/grid_A_f0.88_k40_g3.0/20260510_141759
0.88,60.0,1.0,644344.6212520319,76797.87154287592,480425.03776964394,210.80508890538553,762.119875397474,8.390136449189182,1.3411970038934247,0.159854015726173,3056.5894997972723,True,False,False,True,2,simulateur/results/grid_A_f0.88_k60_g1.0/20260510_141813
0.88,60.0,2.0,789201.3707531686,97480.13958733575,547065.1159440374,261.3619105580667,943.4929572562036,8.096022165069803,1.442609568316728,0.17818745291247481,3019.5730091965024,True,False,False,True,2,simulateur/results/grid_A_f0.88_k60_g2.0/20260510_141827
0.88,60.0,3.0,931689.0679691252,117830.50128396503,612592.741389724,311.9148452803488,1124.8534991591466,7.907027958098946,1.520894723394047,0.19234720446842957,2986.998156922361,True,False,False,True,2,simulateur/results/grid_A_f0.88_k60_g3.0/20260510_141841
0.9,25.0,1.0,478294.4062597254,117844.14809631284,367791.47405404516,797.508304735833,1358.7250736776573,4.058703075088804,1.3004499560243812,0.32041022266599967,599.7359568790395,True,False,False,True,2,simulateur/results/grid_A_f0.9_k25_g1.0/20260510_141855
0.9,25.0,2.0,586903.7085006296,146324.60571596288,420140.392755286,996.179908017489,1690.2540271109287,4.01097071561494,1.39692283489266,0.3482755008542841,589.1543322416877,True,False,False,True,2,simulateur/results/grid_A_f0.9_k25_g2.0/20260510_141910
0.9,25.0,3.0,694173.1135341403,174456.12381129657,471827.7908818621,1193.1012250303763,2019.6936567053883,3.9790699137910712,1.4712425315954942,0.3697453333243304,581.8224799127725,True,False,False,True,2,simulateur/results/grid_A_f0.9_k25_g3.0/20260510_141924
0.9,40.0,1.0,484848.9791196167,62795.703499220464,406694.0001443455,217.15471494858645,674.5489200154641,7.721053385852035,1.1921714580188842,0.15440528622731772,2232.7352147726083,True,False,False,True,2,simulateur/results/grid_A_f0.9_k40_g1.0/20260510_141938
0.9,40.0,2.0,597658.968388483,79201.24382550214,464656.7745062288,269.91068983264734,838.0584658613452,7.546080585618806,1.2862375008383125,0.17045106876934263,2214.284172142457,True,False,False,True,2,simulateur/results/grid_A_f0.9_k40_g2.0/20260510_141952
0.9,40.0,3.0,709053.1363586352,95404.64717070467,521874.82673146034,322.6159082782042,1001.4920649380507,7.43206077886277,1.3586651435162835,0.18281136066330475,2197.8244660743485,True,False,False,True,2,simulateur/results/grid_A_f0.9_k40_g3.0/20260510_142006
0.9,60.0,1.0,491009.98318722716,35079.190021124086,436352.19590426347,190.79142885270258,626.6986459168221,13.997187018615577,1.1252607132403563,0.08039191815782802,2573.5431939466393,False,False,False,True,1,simulateur/results/grid_A_f0.9_k60_g1.0/20260510_142020
0.9,60.0,2.0,607341.010125711,44980.48655039805,498459.34582716355,235.89411550159403,780.2690389286433,13.502321933428183,1.2184363984947755,0.0902390273689334,2574.633999810847,False,False,False,True,1,simulateur/results/grid_A_f0.9_k60_g2.0/20260510_142034
0.9,60.0,3.0,722181.8582754772,54759.27456745102,559753.0238221397,280.99560589361704,933.8335953979806,13.188302145710727,1.2901794676234726,0.09782756365216289,2570.0823896473676,False,False,False,True,1,simulateur/results/grid_A_f0.9_k60_g3.0/20260510_142048
