f0_max,k_sigmoid,gamma,w_acc,gain_honnete,gain_mediocre,gain_cherry_picker,gain_sybil,gain_random_biased,R_acc_honnete,R_acc_cherry_picker,R_acc_sybil,ratio_h_m,ratio_h_c,ratio_m_c,ratio_h_s,passes_h_m,passes_h_c,passes_m_c,passes_h_s,n_passed,results_dir
0.85,25.0,1.0,0.05,691140.9355919741,277777.1980687232,263251.36099821836,2327.178499646445,4619.645403548272,1.0,0.6036253105740796,1.0,2.4881125607040757,2.6254030861274504,1.0551785829916493,296.9866452861159,False,False,True,True,2,simulateur/results/grid_A_v3_f0.85_k25_g1.0/20260510_173439
0.85,25.0,2.0,0.05,840427.0219846382,341899.6082726324,299421.27055433556,2901.013654692426,5730.782136204657,1.0,0.6036253105740796,1.0,2.4581105144597815,2.8068380727551787,1.1418681366212036,289.7011603600131,False,False,True,True,2,simulateur/results/grid_A_v3_f0.85_k25_g2.0/20260510_173454
0.85,25.0,3.0,0.05,987060.5580823292,404897.1577372774,334932.2095725327,3466.022491778863,6827.881132175727,1.0,0.6036253105740796,1.0,2.4378055988301006,2.9470457897796543,1.2088928629887212,284.78192522511335,False,False,True,True,2,simulateur/results/grid_A_v3_f0.85_k25_g3.0/20260510_173508
0.85,40.0,1.0,0.05,755445.7288498548,235710.30404147017,282144.58141255146,486.30485954109446,1455.951653674541,1.0,0.6036253105740796,1.0,3.2049754121777547,2.6775128023644124,0.8354238201612486,1553.4406330274744,True,False,False,True,2,simulateur/results/grid_A_v3_f0.85_k40_g1.0/20260510_173523
0.85,40.0,2.0,0.05,917789.9795620865,292510.42535243795,320569.254330378,607.2343884187118,1801.434435731623,1.0,0.6036253105740796,1.0,3.1376316876783656,2.863000637660073,0.9124718649748528,1511.4262253033578,True,False,False,True,2,simulateur/results/grid_A_v3_f0.85_k40_g2.0/20260510_173537
0.85,40.0,3.0,0.05,1077025.8253700268,348242.2170078877,358240.10063083156,727.4641531658019,2145.551030230955,1.0,0.6036253105740796,1.0,3.092749163567472,3.006435693473378,0.9720916681149364,1480.5208211057427,True,False,False,True,2,simulateur/results/grid_A_v3_f0.85_k40_g3.0/20260510_173552
0.85,60.0,1.0,0.05,796893.5030756532,206793.434309149,289600.64560719876,353.99718336198777,1097.8939068282366,1.0,0.6036253105740796,1.0,3.853572555327483,2.7516979508275115,0.7140641343377192,2251.1295019564377,True,False,False,True,2,simulateur/results/grid_A_v3_f0.85_k60_g1.0/20260510_173606
0.85,60.0,2.0,0.05,967056.1249251728,258550.79599906172,328812.1887400531,439.0046788160683,1355.8828331784894,1.0,0.6036253105740796,1.0,3.7402945180980307,2.94105923697887,0.7863175540717638,2202.837854788205,True,False,False,True,2,simulateur/results/grid_A_v3_f0.85_k60_g2.0/20260510_173621
0.85,60.0,3.0,0.05,1133820.2290780526,309296.37074188486,367221.7265873815,523.9595029389903,1613.734195134115,1.0,0.6036253105740796,1.0,3.665805151086795,3.0875630361382136,0.842260542741299,2163.9463025639106,True,False,False,True,2,simulateur/results/grid_A_v3_f0.85_k60_g3.0/20260510_173635
0.88,25.0,1.0,0.05,568408.1559397866,174941.62670861534,238221.51609470882,1249.8789675498651,2543.934920329391,1.0,0.6036253105740796,1.0,3.249130390713317,2.3860487719917236,0.7343653485903618,454.7705583477701,True,False,False,True,2,simulateur/results/grid_A_v3_f0.88_k25_g1.0/20260510_173650
0.88,25.0,2.0,0.05,694921.5490613654,216616.34183297455,271597.5042447933,1560.5253875086676,3157.5108401544335,1.0,0.6036253105740796,1.0,3.208075361171022,2.558644826261092,0.7975638157474977,445.3125560301118,True,False,False,True,2,simulateur/results/grid_A_v3_f0.88_k25_g2.0/20260510_173704
0.88,25.0,3.0,0.05,819592.0222444226,257694.6552636496,304475.43654088856,1867.6722680690953,3765.499400612348,1.0,0.6036253105740796,1.0,3.1804773808983002,2.691816560165628,0.8463561402236246,438.83075005004116,True,False,False,True,2,simulateur/results/grid_A_v3_f0.88_k25_g3.0/20260510_173719
