delta_refus,T_attente,delta_temps,gain_honnete,gain_mediocre,gain_cherry_picker,gain_sybil,gain_random_biased,P_moyen,frac_cap_activations,frac_impraticables,frac_mempool_persistent,ratio_h_m,ratio_h_c,ratio_m_c,ratio_h_s,passes_h_m,passes_h_c,passes_m_c,passes_h_s,n_passed,results_dir
0.03,3,0.005,1236907.389633349,394220.29554398655,392065.1941817043,1115.9225966628337,1037.0596335932564,1.0049017946355154,0.0,0.0,0.6986245349451908,3.1376045414570406,3.1548513053165816,1.0054967933758574,1108.4168322537066,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.03_ta3_dt0.005/20260511_201548
0.03,3,0.01,1236915.7917036864,394224.88869782764,392067.54946664907,1116.0533548040717,1037.3642928992663,1.0049107101144528,0.0,0.0,0.6986245349451908,3.1375892977974282,3.1548537831971317,1.00550246822037,1108.29449719349,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.03_ta3_dt0.01/20260511_201612
0.03,3,0.02,1236934.9449526505,394234.4466578703,392072.2314914425,1116.3192294794396,1037.9797746717306,1.0049302755767786,0.0,0.0,0.6986245349451908,3.1375618123651776,3.1548649600798067,1.005514838830087,1108.0476912768547,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.03_ta3_dt0.02/20260511_201635
0.03,5,0.005,1236899.2868281174,394216.2309456164,392063.1330542041,1115.8151148758113,1036.75642932266,1.0048933054352285,0.0,0.0,0.6986245349451908,3.137616337767565,3.15484722369219,1.0054917122011433,1108.5163396140074,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.03_ta5_dt0.005/20260511_201659
0.03,5,0.01,1236899.5638034304,394216.7398820594,392063.41767719865,1115.8376344350631,1036.7564103720902,1.0048937066628234,0.0,0.0,0.6986245349451908,3.1376129896804543,3.1548456398495683,1.005492280349996,1108.4942160331952,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.03_ta5_dt0.01/20260511_201722
0.03,5,0.02,1236900.1189249302,394217.7631261321,392063.9958416974,1115.883347308664,1036.756372339606,1.0048945136588436,0.0,0.0,0.6986245349451908,3.1376062537526432,3.1548424033926086,1.0054934074724482,1108.449303332772,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.03_ta5_dt0.02/20260511_201746
0.03,10,0.005,1236899.010240563,394215.7237877834,392062.8513844697,1115.792818421672,1036.7564482297598,1.004892905711269,0.0,0.0,0.6986245349451908,3.1376196726907266,3.154848784761857,1.0054911410140273,1108.53824278077,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.03_ta10_dt0.005/20260511_201810
0.03,10,0.01,1236899.010240563,394215.7237877834,392062.8513844697,1115.792818421672,1036.7564482297598,1.004892905711269,0.0,0.0,0.6986245349451908,3.1376196726907266,3.154848784761857,1.0054911410140273,1108.53824278077,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.03_ta10_dt0.01/20260511_201833
0.03,10,0.02,1236899.010240563,394215.7237877834,392062.8513844697,1115.792818421672,1036.7564482297598,1.004892905711269,0.0,0.0,0.6986245349451908,3.1376196726907266,3.154848784761857,1.0054911410140273,1108.53824278077,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.03_ta10_dt0.02/20260511_201857
0.05,3,0.005,1241536.6507422747,395992.2537826417,391955.4194288691,1118.1224249858187,1039.6979904225207,1.0081916561501474,0.0,0.0,0.6986245349451908,3.1352548916872203,3.1675455656445775,1.010299218109179,1110.3763085317078,True,False,True,True,3,simulateur/results/grid_A_v4_dr0.05_ta3_dt0.005/20260511_201921
